bucket,DirPrefix,Gbytes,Costs
ws-in,CONUS/,1152.634173642844,26.510585993785412
ws-in,DelawareRiverBasin/,698.3342205761,16.0616870732503
ws-in,EastAfrica/,108.48768190201372,2.4952166837463157
ws-in,Marshall_Islands/,3.0795034440234303,0.07082857921253889
ws-in,NorthAmerica/,2360.6205078894272,54.29427168145683
ws-in,cfactor/,149.86372096277773,3.4468655821438876
ws-in,global_dT/,4.07246426679194,0.09366667813621461
ws-in,home/,9.139479291625321,0.21020802370738237
ws-out,CONUS/,295945.4016605504,6806.7442381926585
ws-out,EastAfrica/,8220.281590281986,189.06647657648566
ws-out,tony1/,1.9135420760139823,0.04401146774832159
ws-enduser,CONUS/,35638.575290732086,819.687231686838
